location,division_rank
Cumberland,Second Order Division
United Kingdom,Country
Standish-Mine,namedPlace
Egremont,namedPlace
Cumberland,Second Order Division
United Kingdom,Country
Iceland,Country
Flintshire,First Order Division
England,First Order Division
United Kingdom,Country
Kenya,Country
Tschagirsk,namedPlace
Altai,Second Order Division
USSR,namedPlace
Altai,Second Order Division
USSR,namedPlace
Madagascar,Country
Estado Falcon,namedPlace
Venezuela,Second Order Division
Lake Superior (Canada od. USA),Second Order Division
Montgomery Co.,namedPlace
USA,Second Order Division
Glücksbrunnen,namedPlace
Thuringia,namedPlace
Germany,Country
Salzburg,First Order Division
Austria,Country
Khorassau,namedPlace
Missouri,First Order Division
USA,Second Order Division
Hall,Second Order Division
Tirol,First Order Division
Austria,Country
Ternel,namedPlace
Aragonien,namedPlace
Spain,Country
Kyschtimsk,namedPlace
Ural,namedPlace
USSR,namedPlace
Brozzo,namedPlace
Piemonte,First Order Division
Italy,Country
Graz,namedPlace
Austria,Country
Limni,namedPlace
Euböa,namedPlace
Greece,Country
Lyon County,namedPlace
Nevada,First Order Division
USA,Second Order Division
Italy,Country
Alter Segen,namedPlace
Germany,Country
Zepse,namedPlace
Bosnia,namedPlace
Yugoslavia,namedPlace
Vaihingen,namedPlace
Württemberg,namedPlace
Germany,Country
Ems,namedPlace
Nassau,Second Order Division
Germany,Country
Scotland,First Order Division
United Kingdom,Country
Fanberry Mine,namedPlace
Cumberland,Second Order Division
United Kingdom,Country
Sardinien,namedPlace
Italy,Country
Nalfidano,namedPlace
Italy,Country
Vieille Montagne,namedPlace
Lüttich (Liège),namedPlace
Belgium,Country
Hofsgrund,namedPlace
Tirol,First Order Division
Austria,Country
Dognacska,namedPlace
Banat,namedPlace
Romania,Country
Steinheim near Hanau,namedPlace
Hesse,namedPlace
Germany,Country
Lobenstein,namedPlace
Germany,Country
Schmalkalden,namedPlace
Thuringia,namedPlace
Germany,Country
Holzappel an der Lahn,namedPlace
Germany,Country
aus dem Zweibrückischen,namedPlace
Germany,Country
Wissen an der Sieg,namedPlace
Germany,Country
Mine Carolina,namedPlace
Claustal,namedPlace
Harz,Second Order Division
Germany,Country
Neudorf am Harz,namedPlace
Germany,Country
Zwickau,Second Order Division
Saxony,namedPlace
Germany,Country
Kollosornk,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Schwaz,Second Order Division
Tirol,First Order Division
Austria,Country
Dongo am Lago di Como,namedPlace
Italy,Country
Vienne,First Order Division
Dauphiné,namedPlace
France,Country
Allevard,namedPlace
Dépt. Isère,namedPlace
France,Country
Neu-Spanien,namedPlace
Ivigtuk,namedPlace
Arsukfjord,namedPlace
Frizzington,namedPlace
Cumberland,Second Order Division
United Kingdom,Country
Redruth,namedPlace
Cornwall,First Order Division
United Kingdom,Country
St. Day,namedPlace
Cornwall,First Order Division
United Kingdom,Country
Devonshire,First Order Division
United Kingdom,Country
Wesergegend,namedPlace
Germany,Country
Nagyag,namedPlace
Transylvania,Second Order Division
Romania,Country
Vöröspatak,namedPlace
Transylvania,Second Order Division
Romania,Country
Kapnik,namedPlace
Transylvania,Second Order Division
Romania,Country
Transylvania,Second Order Division
Romania,Country
Hefeldam,namedPlace
Harz,Second Order Division
Germany,Country
Oberneisein near Dietz,namedPlace
Nassau,Second Order Division
Germany,Country
Dietz an der Lahn,namedPlace
Nassau,Second Order Division
Germany,Country
Rotenberg,namedPlace
Nassau,Second Order Division
Germany,Country
Mine Wolf,namedPlace
Herdorf,namedPlace
Siegerland,namedPlace
Westfalen,namedPlace
Germany,Country
Mine Storch,namedPlace
Schöneberg a. d. Sieg,namedPlace
Siegen,namedPlace
Germany,Country
Luz,Second Order Division
Hautes Pyrénées,namedPlace
France,Country
Givry,namedPlace
Saône et Loire,namedPlace
France,Country
Puy-en-Velay,namedPlace
Südfrankreich,namedPlace
Mende,namedPlace
Dépt. Lozère,namedPlace
France,Country
Bastennes,namedPlace
Landes,First Order Division
France,Country
Dax,namedPlace
Pyrénées,Second Order Division
France,Country
St. Nédaire,namedPlace
Auvergne,First Order Division
France,Country
Clermont,Second Order Division
Auvergne,First Order Division
France,Country
Caltanissetta,First Order Division
Sizilien,namedPlace
Italy,Country
Cianciana,namedPlace
Sizilien,namedPlace
Italy,Country
Valencia,First Order Division
Spain,Country
Molino de Aragon,namedPlace
Castille,namedPlace
Spain,Country
Aragonien,namedPlace
Spain,Country
Moratilla,namedPlace
Guadalajara,First Order Division
Spain,Country
Hüttenberg,namedPlace
Kärnten,First Order Division
Austria,Country
Jembach,namedPlace
Tirol,First Order Division
Austria,Country
Schwaz oder Brixlegg,namedPlace
Tirol,First Order Division
Austria,Country
Böttingen,namedPlace
Münsingen,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Betler,namedPlace
Hungary,Country
Bilin,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Unisun,namedPlace
California,First Order Division
USA,Second Order Division
Claustal,namedPlace
Harz,Second Order Division
Germany,Country
Sendenhorst,namedPlace
Westfalen,namedPlace
Germany,Country
Alpe di Seiss,namedPlace
Fassatal,namedPlace
Tirol,First Order Division
Italy,Country
Hexham,namedPlace
Northumberland,First Order Division
United Kingdom,Country
Northumberland,First Order Division
United Kingdom,Country
Hitterö,namedPlace
Norway,Country
Drontheim,namedPlace
Norway,Country
Plauenscher Grund,namedPlace
Dresden,Second Order Division
Germany,Country
Planenscher,namedPlace
Grund near Dresden,namedPlace
Germany,Country
Jakobsberg near Nordmarken,namedPlace
Sweden,Country
Kilpatrick,namedPlace
Dunbarton,namedPlace
Scotland,First Order Division
United Kingdom,Country
Keweenaw,Second Order Division
Lake Superior,Second Order Division
Michigan,First Order Division
USA,Second Order Division
Lake Superior,Second Order Division
Michigan,First Order Division
USA,Second Order Division
St. Christophe,namedPlace
Oisans,namedPlace
Dauphiné,namedPlace
France,Country
Fassatal,namedPlace
Tirol,First Order Division
Italy,Country
Monte Gabbia near Campitello,namedPlace
Drio,namedPlace
Lepalle,namedPlace
Italy,Country
Rauschenmühle zw. Lauterecken und Kaiserslautern,namedPlace
Germany,Country
Jardonsmühl,namedPlace
Silesia,namedPlace
Poland,Country
Waltsch,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Kreuznach,namedPlace
Germany,Country
Reichenbach,namedPlace
Oberstein,namedPlace
Germany,Country
Idar-Oberstein an der Nahe,namedPlace
Germany,Country
Niederkirchen,namedPlace
Wolfstein,namedPlace
Germany,Country
Fiskernäs,namedPlace
Greenland,Country
Falun,Second Order Division
Sweden,Country
Plymouth,First Order Division
USA,Second Order Division
Uniby,namedPlace
North Hampshire,namedPlace
USA,Second Order Division
North Hampshire,namedPlace
USA,Second Order Division
Haddam,namedPlace
Connecticut,First Order Division
USA,Second Order Division
Hof Bräkke near Brevig,namedPlace
Langesund,namedPlace
Norway,Country
Helsingfors,namedPlace
Finland,Country
St. Pardonx,namedPlace
Auvergne,First Order Division
France,Country
Pontgiband,namedPlace
Auvergne,First Order Division
France,Country
Mauzal,namedPlace
Auvergne,First Order Division
France,Country
Estado de Crarà,namedPlace
Brazil,Country
Bahia,First Order Division
Brazil,Country
Santa-Fé de Bogota,namedPlace
Colombia,Country
Aduntschilon,namedPlace
USSR,namedPlace
Tokawaja,namedPlace
Sibirien,namedPlace
USSR,namedPlace
Pinzgau,namedPlace
Salzburg,First Order Division
Austria,Country
Heubachtal,namedPlace
Salzburg,First Order Division
Austria,Country
Konefjord near Falun,namedPlace
Sweden,Country
Broderbo,namedPlace
Falun,Second Order Division
Sweden,Country
Satersdalm,namedPlace
Norway,Country
Norje Hitterö,namedPlace
Norway,Country
Villa Rica,Second Order Division
Brazil,Country
Custer,Second Order Division
Blackhills,namedPlace
South Dakota,First Order Division
USA,Second Order Division
Moina Districts,namedPlace
Island Tasmania,namedPlace
Australia,Country
Mlali,namedPlace
Ev. Kongwa,namedPlace
Tanganjika,namedPlace
Tanzania,namedPlace
Woolewoole,namedPlace
Itiso near Haneti,namedPlace
Tanganjika,namedPlace
Tanzania,namedPlace
Limoges,namedPlace
France,Country
Chanteloube,namedPlace
Auvéry,namedPlace
Limoges,namedPlace
France,Country
Schellerhau,namedPlace
Saxony,namedPlace
Germany,Country
Johanngeorgenstadt,namedPlace
Saxony,namedPlace
Germany,Country
Langenbielen near Reichenbach,namedPlace
Germany,Country
Rosenbach,namedPlace
Silesia,namedPlace
Poland,Country
Hühnerkobel near Rabenstein,namedPlace
Zwiesel,namedPlace
Bavaria,namedPlace
Germany,Country
Mine Calamita,namedPlace
Island Elba,namedPlace
Italy,Country
Campiglia Maritima,namedPlace
Italy,Country
Campiglia,namedPlace
Toscana,First Order Division
Italy,Country
Rio Marina,namedPlace
Island Elba,namedPlace
Italy,Country
Perwo Pawlowsk Miark,namedPlace
Ural,namedPlace
USSR,namedPlace
Obira Prov Bungo,namedPlace
Japan,Country
Mont de Lans,namedPlace
France,Country
Dutton Range,namedPlace
Inyo County,namedPlace
California,First Order Division
USA,Second Order Division
Allemont,namedPlace
Dauphiné,namedPlace
France,Country
Oris. Dauphiné,namedPlace
France,Country
Thum.,namedPlace
Saxony,namedPlace
Germany,Country
Kongsberg,Second Order Division
Norway,Country
Chesterfield,Second Order Division
Massachusetts,First Order Division
USA,Second Order Division
San Diego,Second Order Division
USA,Second Order Division
Pala,Second Order Division
San Diego,Second Order Division
California,First Order Division
USA,Second Order Division
Euxirons Marais Auransmanity,namedPlace
Lipovka near Mursinka,namedPlace
Ural,namedPlace
USSR,namedPlace
Nendek,namedPlace
Rozena,namedPlace
Moravia,Second Order Division
Czechoslovakia,namedPlace
Nova Ves near Südböhmen,namedPlace
Czechoslovakia,namedPlace
Prevali,namedPlace
Kärnten,First Order Division
Austria,Country
Governor,namedPlace
New York,First Order Division
USA,Second Order Division
Dobrown,namedPlace
Corinthie,namedPlace
Sakangy,namedPlace
nordwestl. V. Mogok,namedPlace
Burma,namedPlace
Paris,First Order Division
Maine,First Order Division
USA,Second Order Division
Island Utö,namedPlace
Sweden,Country
Ramjossen,namedPlace
Norway,Country
Val d'Ala,namedPlace
Piemonte,First Order Division
Italy,Country
Pfitschergrund,namedPlace
Tirol,First Order Division
Austria,Country
Moulin de Gravière,namedPlace
France,Country
Faltigels,namedPlace
Tirol,First Order Division
Austria,Country
Rammersreuth,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Royat,namedPlace
Auvergne,First Order Division
France,Country
Montagne de Gary,namedPlace
Vallée de Martigrac,namedPlace
France,Country
La Haute-Maison-Neuve near Le Buisson,namedPlace
France,Country
Galgenberg,namedPlace
Aschaffenburg,Second Order Division
Bavaria,namedPlace
Germany,Country
Auerbach an der Bergstrasse,namedPlace
Germany,Country
Haddamlonn,namedPlace
White Mountains,namedPlace
Vermont,First Order Division
USA,Second Order Division
Sonora,First Order Division
Mexico,Country
Gouvernement,namedPlace
New York,First Order Division
USA,Second Order Division
Plumas County,namedPlace
California,First Order Division
USA,Second Order Division
Pierpont,namedPlace
Lawrence City,namedPlace
USA,Second Order Division
Gornoschut,namedPlace
near Jekaterinburg,namedPlace
Ural,namedPlace
USSR,namedPlace
Senamat,namedPlace
Djambi,namedPlace
Sumatra,namedPlace
Brevig,namedPlace
Langesund,namedPlace
Norway,Country
Russel,namedPlace
St. Lawrence,namedPlace
New York,First Order Division
USA,Second Order Division
Darbury,namedPlace
Connecticut,First Order Division
USA,Second Order Division
Ceneri-Tunnel II,namedPlace
Rivera,First Order Division
Ticino,First Order Division
Switzerland,Country
Mine Obira,namedPlace
Province Bungo,namedPlace
Japan,Country
Naalsö,namedPlace
Island Fär-Öer,namedPlace
Denmark,Country
Island Fär-Öer,namedPlace
Denmark,Country
Marienberg,namedPlace
Usti nad Labem (Aussig),First Order Division
Bohemia,namedPlace
Czechoslovakia,namedPlace
Usti nad Labem (Aussig),First Order Division
Bohemia,namedPlace
Czechoslovakia,namedPlace
Cziklowa,namedPlace
Banat,namedPlace
Romania,Country
Frombach,namedPlace
Alpe di Seiss,namedPlace
Fassatal,namedPlace
Tirol,First Order Division
Italy,Country
Montecchio Maggiore near Vicenza,namedPlace
Italy,Country
Limperichkopf near Asbach,namedPlace
Germany,Country
Fassa,namedPlace
Tirol,First Order Division
Italy,Country
Baikal-See,namedPlace
Russia,namedPlace
Coquimbo,First Order Division
Chile,Country
Onega-See,namedPlace
USSR,namedPlace
Iran,namedPlace
Sliudanka,namedPlace
Sibirien,namedPlace
Russia,namedPlace
Pouzac near Bagnères en Bigorre,namedPlace
France,Country
Boutx,namedPlace
Pyrénées,Second Order Division
France,Country
Singatse Range,namedPlace
Dyerington,namedPlace
Nevada,First Order Division
USA,Second Order Division
Port de Saleix,namedPlace
Pyrénées,Second Order Division
France,Country
Manléon,namedPlace
Pyrénées,Second Order Division
France,Country
Hesselkulla,namedPlace
Sweden,Country
Monroe,Second Order Division
New York,First Order Division
USA,Second Order Division
Warwick,First Order Division
Orange,Second Order Division
New York,First Order Division
USA,Second Order Division
Quebec,First Order Division
Canada,Country
Burgess,namedPlace
Ontario,First Order Division
Canada,Country
Stargard,Second Order Division
Finland,Country
Bispberg,namedPlace
Sweden,Country
Saalbach,namedPlace
Bavaria,namedPlace
Germany,Country
Monzoni,namedPlace
Fassatal,namedPlace
Tirol,First Order Division
Italy,Country
Monzoni-Gebiet,namedPlace
Fassatal,namedPlace
Tirol,First Order Division
Italy,Country
Toal della Foja,namedPlace
Monzoni,namedPlace
Fassatal,namedPlace
Tirol,First Order Division
Italy,Country
Brozzotal,namedPlace
Piemonte,First Order Division
Italy,Country
Sterling,Second Order Division
Massachusetts,First Order Division
USA,Second Order Division
Stony Point,namedPlace
North Carolina,First Order Division
USA,Second Order Division
Rincon,Second Order Division
San Diego County,namedPlace
California,First Order Division
USA,Second Order Division
North Carolina,First Order Division
USA,Second Order Division
Rincon,Second Order Division
San Diego,Second Order Division
California,First Order Division
USA,Second Order Division
Sterzing,namedPlace
Tirol,First Order Division
Austria,Country
Tammela,namedPlace
Finland,Country
Norwich,namedPlace
USA,Second Order Division
Eger,First Order Division
Norway,Country
Westfield,namedPlace
Massachusetts,First Order Division
USA,Second Order Division
(angeblich Hungary) Franklin,Second Order Division
New Jersey,First Order Division
USA,Second Order Division
Stör Kyro,namedPlace
Finland,Country
Portet,namedPlace
Pyrénées,Second Order Division
France,Country
Vallée d'Arbourt,namedPlace
Pyrénées,Second Order Division
France,Country
Vicenza,First Order Division
Italy,Country
Montauban,namedPlace
Bagnères,namedPlace
France,Country
Liel,namedPlace
Kandern,namedPlace
Germany,Country
Gnandstein,namedPlace
Saxony,namedPlace
Germany,Country
Itiso,namedPlace
Haneti,namedPlace
Tanganjika,namedPlace
Tanzania,namedPlace
Gouverneur,Second Order Division
New York,First Order Division
USA,Second Order Division
Hastings County,namedPlace
Ontario,First Order Division
Canada,Country
Mino,Second Order Division
Japan,Country
Ruskiola,namedPlace
Finland,Country
Drammen,Second Order Division
Norway,Country
St Béal,namedPlace
Pyrénées,Second Order Division
France,Country
Saualpe,namedPlace
Kärnten,First Order Division
Austria,Country
Nord-Mähren,namedPlace
Czechoslovakia,namedPlace
Chiavenna,namedPlace
Italy,Country
Korsika,namedPlace
France,Country
Chamonix,namedPlace
Aiguille du Goûté,namedPlace
France,Country
Chamonix,namedPlace
France,Country
Barèges,namedPlace
Hautes Pyrénées,namedPlace
France,Country
Vallée de Chamonix,namedPlace
Haute-Savoie,First Order Division
Rhône-Alpes,First Order Division
France,Country
Schloss Haus Baden,namedPlace
Sehringen,namedPlace
Badenweiler,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Längbanshyttan,namedPlace
Sweden,Country
New Zealand,Country
Turkestan,Second Order Division
Pargas,namedPlace
Finland,Country
Baikal,namedPlace
Russia,namedPlace
Val d'Aosta,namedPlace
Italy,Country
Val Formazza,namedPlace
Piemonte,First Order Division
Italy,Country
Gegend von Kassel,namedPlace
Germany,Country
Hallershausen near Kassel,namedPlace
Germany,Country
Vogelsberg,namedPlace
Hesse,namedPlace
Germany,Country
Regen,Second Order Division
Bavaria,namedPlace
Germany,Country
Wolkenburg,namedPlace
Siebengebirge near Bonn,namedPlace
Germany,Country
Siebengebirge near Bonn,namedPlace
Germany,Country
Wilhelmshöhe near Kassel,namedPlace
Germany,Country
Merapi,namedPlace
Java,Second Order Division
Kangerdluarsuk,namedPlace
Greenland,Country
Kostenblatt,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Mukow,namedPlace
Bohemia,namedPlace
Czechoslovakia,namedPlace
Wolfsberg,Second Order Division
Bohemia,namedPlace
Czechoslovakia,namedPlace
Degero,namedPlace
Helsingfors,namedPlace
Finland,Country
Tschernoschii,namedPlace
Zaaleszer,namedPlace
